X,Y,Type,Latitude,Longitude,Date,Time,Descriptio,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,RoadType,join_osm_i,join_name,join_ref,join_type,join_onewa,join_bridg,join_maxsp,distance
30921.6048586233,36497.5779917664,Heavy Traffic,1.34635,103.85957,22/2/2018,7:52:00 AM,Heavy Traffic on CTE (towards AYE) at Braddell Rd Exit.,SERANGOON,SG,NORTH-EAST REGION,NER,expressway,37553782,Braddell Road,Exit 10,motorway_link,1,0,50,1.542759952563153
42477.5530821476,37512.3589847634,Heavy Traffic,1.35552,103.96341,22/2/2018,7:42:00 AM,Heavy Traffic on TPE (towards PIE) between Pasir Ris Dr 8 Exit and PIE Exit.,PASIR RIS,PR,EAST REGION,ER,expressway,173767903,Tampines Expressway,TPE,motorway,1,0,90,4.789990160522676
26986.7423583393,34520.5900029938,Heavy Traffic,1.32847,103.82421,22/2/2018,7:38:00 AM,Heavy Traffic on PIE (towards Tuas) after Stevens Rd Exit,NOVENA,NV,CENTRAL REGION,CR,expressway,75525381,Pan-Island Expressway,PIE,motorway,1,0,,2.666491685890461
25908.382317679,35107.5700254259,Heavy Traffic,1.33377,103.81452,22/2/2018,7:13:00 AM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.,BUKIT TIMAH,BT,CENTRAL REGION,CR,expressway,123220700,,,motorway_link,1,0,,1.304178412123343
10569.6377262387,35310.8590097722,Heavy Traffic,1.33561,103.67670,22/2/2018,7:12:00 AM,Heavy Traffic on PIE (towards Tuas) at Upper Jurong Rd Exit.,WESTERN WATER CATCHMENT,WC,WEST REGION,WR,expressway,479568573,Pan-Island Expressway,PIE,motorway,1,0,,4.085554596664061
9367.51366938589,34268.6209448188,Heavy Traffic,1.32618,103.66590,22/2/2018,7:10:00 AM,Heavy Traffic on PIE (towards Tuas) at AYE Exit.,PIONEER,PN,WEST REGION,WR,expressway,479568578,Upper Jurong Road,,motorway_link,1,0,,12.387856342661790
28485.8572404767,29733.9200168324,Heavy Traffic,1.28518,103.83768,21/2/2018,6:34:00 PM,Heavy Traffic in CTE Tunnel (towards AYE) at Outram Rd Exit.,OUTRAM,OT,CENTRAL REGION,CR,expressway,23135311,Outram Road,Exit,motorway_link,1,0,,2.240388531787328
37254.6839288061,40383.801005784,Heavy Traffic,1.38149,103.91648,21/2/2018,6:17:00 PM,Heavy Traffic on KPE (towards TPE) at TPE(SLE) Exit.,SENGKANG,SE,NORTH-EAST REGION,NER,expressway,22791294,TPE towards Punggol,Exit,motorway_link,1,0,50,0.533290695051032
25903.6302626632,35108.6479457428,Heavy Traffic,1.33378,103.81448,21/2/2018,6:12:00 PM,Heavy Traffic on PIE (towards Changi Airport) at Lornie Rd Exit.,BUKIT TIMAH,BT,CENTRAL REGION,CR,expressway,123220700,,,motorway_link,1,0,,1.308238735813195
19995.3000305398,32795.1410502141,Heavy Traffic,1.31286,103.76139,21/2/2018,6:08:00 PM,Heavy Traffic on AYE (towards Tuas ) at Clementi Ave 6 Exit.,CLEMENTI,CL,WEST REGION,WR,expressway,44628837,Ayer Rajah Expressway,,motorway_link,1,0,50,1.607912462750555
