X,Y,Type,Date,Dscrptn,PLN_AREA_C,PLN_AREA_N,REGION_C,REGION_N,RoadType,join_osm_id,join_name,join_ref,join_type,join_oneway,join_bridge,join_maxspeed,distance
28790.0037868856,34557.7500475568,Accident,20/2/2018,Accident on PIE (towards Tuas) after Thomson Rd Exit.,NV,NOVENA,CR,CENTRAL REGION,expressway,44839216,Thomson Flyover,PIE,motorway,1,1,80,7.5714786622976
29154.3975152466,32441.368961739,Accident,20/2/2018,Accident in CTE Tunnel (towards AYE) before Cairnhill Circle Exit. Avoid lane 1.,NT,NEWTON,CR,CENTRAL REGION,expressway,15775020,Kampong Java Tunnel,CTE,motorway,1,0,,5.1942002520977
9087.05620674033,33859.9220167295,Accident,20/2/2018,Accident on Jalan Ahmad Ibrahim (towards Tuas Road) after Upper Jurong Road. Avoid left lane.,PN,PIONEER,WR,WEST REGION,expressway,44776079,Tuas Flyover,AYE,motorway,1,1,,27.7658322689888
22916.6149095311,45339.1289851806,Accident,20/2/2018,Accident on SLE (towards CTE) at Woodlands Ave 2 Entrance.,WD,WOODLANDS,NR,NORTH REGION,expressway,22774351,,,motorway_link,1,0,50,1.07947527559656
25592.1050316533,29538.2399893507,Accident,20/2/2018,Accident on AYE (towards MCE) after Alexandra.,BM,BUKIT MERAH,CR,CENTRAL REGION,expressway,480749318,Ayer Rajah Expressway,AYE,motorway,1,0,90,4.98447955073739
12826.8948371984,33884.3200348574,Accident,19/2/2018,Accident on AYE (towards MCE) after Pioneer Rd Exit. Avoid lanes 2 and 3.,BL,BOON LAY,WR,WEST REGION,expressway,44638512,Pioneer Flyover,AYE,motorway,1,1,,0.919126524144301
8820.55136431877,34217.6209803345,Accident,19/2/2018,Accident on AYE (towards MCE) at PIE(KJE) Exit.,TS,TUAS,WR,WEST REGION,expressway,479132843,Jalan Ahmad Ibrahim,,motorway_link,1,0,,0.999340883947371
27321.8687335305,34313.3089636563,Accident,19/2/2018,Accident on PIE (towards Changi Airport) after Stevens Rd Exit with congestion till Lornie Rd. Avoid lane 2.,NV,NOVENA,CR,CENTRAL REGION,expressway,479181644,Pan-Island Expressway,PIE,motorway,1,0,80,2.52672437081561
40024.1940772839,39196.449015925,Accident,19/2/2018,Accident on TPE (towards PIE) before Pasir Ris Dr 8 Exit. Avoid lanes 1 and 2.,PR,PASIR RIS,ER,EAST REGION,expressway,472098011,Tampines Expressway,TPE,motorway,1,0,90,4.83528721632256
32747.3609105346,32358.221014658,Accident,19/2/2018,Accident on KPE (towards ECP) after PIE Entrance. Avoid lane 1.,KL,KALLANG,CR,CENTRAL REGION,expressway,167091890,,Exit,motorway_link,1,0,,8.36073197253132
30606.1004722012,37667.3979851556,Accident,18/2/2018,Accident on CTE (towards SLE) at Ang Mo Kio Ave 1 Entrance.,AM,ANG MO KIO,NER,NORTH-EAST REGION,expressway,479761056,,,motorway_link,1,0,,3.37141359147989
29214.7585377107,30560.3300158549,Accident,18/2/2018,Accident on River Valley Road (towards Clemenceau Avenue) after Clarke Quay. Avoid right lane.,SR,SINGAPORE RIVER,CR,CENTRAL REGION,expressway,16894437,Chin Swee Tunnel,CTE,motorway,1,0,,30.223842401575
12766.0301914094,33885.1209639487,Accident,18/2/2018,Accident on AYE (towards MCE) after Pioneer Rd Exit. Avoid lane 3.,PN,PIONEER,WR,WEST REGION,expressway,44638512,Pioneer Flyover,AYE,motorway,1,1,,4.50076088439868
29197.1290574185,30780.0510011932,Accident,18/2/2018,Accident on Clemenceau Avenue (towards Tank Road) after River Valley Road.,MU,MUSEUM,CR,CENTRAL REGION,expressway,167648617,Chin Swee Tunnel,CTE,motorway,1,0,,16.3924433935169
31828.3447360245,42561.5510499802,Accident,17/2/2018,Accident on TPE (towards PIE) at TPE(PIE) Entrance.,SL,SELETAR,NER,NORTH-EAST REGION,expressway,349477704,Seletar Interchange,,motorway_link,1,0,,0.138463715264267
25768.5804924374,35118.9610058959,Accident,17/2/2018,Accident on PIE (towards Changi Airport) before Lornie Rd with congestion till Eng Neo Ave. Avoid lanes 1 and 6.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway,44818682,Pan-Island Expressway,PIE,motorway,1,0,,4.68182699038405
24132.8059494821,29763.6089600811,Accident,17/2/2018,Accident on AYE (towards Tuas) after Alexandra Rd Entrance. Avoid lanes 1 and 2.,QT,QUEENSTOWN,CR,CENTRAL REGION,expressway,75007298,Ayer Rajah Expressway,AYE,motorway,1,0,90,5.16736961213943
37662.7003241498,31832.8690083339,Accident,17/2/2018,Accident on ECP (towards City) before Still Rd Sth Exit. Avoid lane 3.,BD,BEDOK,ER,EAST REGION,expressway,166853589,East Coast Parkway,ECP,motorway,1,0,90,5.49792669726792
25318.8958596113,35424.3279898695,Accident,16/2/2018,Accident on PIE (towards Changi Airport) before Lornie Rd. Avoid lane 1.,BT,BUKIT TIMAH,CR,CENTRAL REGION,expressway,479544356,Pan-Island Expressway,PIE,motorway,1,0,80,10.9431365284214
28789.1691204721,34555.3910408079,Accident,16/2/2018,Accident on PIE (towards Tuas) after Thomson Rd Exit with congestion till Toa Payoh Exit.,NV,NOVENA,CR,CENTRAL REGION,expressway,44839216,Thomson Flyover,PIE,motorway,1,1,80,5.84891953271867
20395.0572297451,32444.2700348075,Accident,16/2/2018,Accident on AYE (towards MCE) before Clementi Ave 2 Exit. Avoid lanes 3 and 4.,CL,CLEMENTI,WR,WEST REGION,expressway,479303944,Ayer Rajah Expressway,AYE,motorway,1,0,90,8.56942598287986
29783.0257392089,28394.12099973,Accident,16/2/2018,Accident on MCE (towards ECP) before Maxwell Rd Entrance. Avoid lane 4.,DT,DOWNTOWN CORE,CR,CENTRAL REGION,expressway,74607483,Ayer Rajah Expressway,AYE,motorway,1,1,,12.0339421417254
34469.2184401836,42505.6409518701,Accident,15/2/2018,Accident on TPE (towards PIE) before Sengkang Exit.,PG,PUNGGOL,NER,NORTH-EAST REGION,expressway,33298780,Tampines Expressway,TPE,motorway,1,0,90,4.8441624373474
18471.5490286267,33943.6909832876,Accident,15/2/2018,Accident on AYE (towards MCE) at Jurong Town Hall Entrance.,JE,JURONG EAST,WR,WEST REGION,expressway,173767997,,,motorway_link,1,0,50,2.89039024580151
21029.7623299953,44537.6719666258,Accident,15/2/2018,Accident on BKE (towards Woodlands) at SLE Exit.,SK,SUNGEI KADUT,NR,NORTH REGION,expressway,95840934,,,motorway_link,1,0,50,1.15728606702413
24871.6257292423,44094.1719571204,Accident,15/2/2018,Accident on SLE (towards CTE) before Mandai Ave Exit with congestion till Woodlands Ave 12 Exit. Avoid lanes 1 and 2.,MD,MANDAI,NR,NORTH REGION,expressway,480874189,Seletar Expressway,SLE,motorway,1,0,90,8.22232722065432
21373.9709051193,42443.0200456297,Accident,15/2/2018,Accident on BKE (towards PIE) after Mandai Rd Exit with congestion till Mandai Rd Exit. Avoid lanes 1 and 2.,CC,CENTRAL WATER CATCHMENT,NR,NORTH REGION,expressway,260573534,Bukit Timah Expressway,BKE,motorway,1,0,,11.1399998625751
22249.3860056248,37917.640999573,Accident,15/2/2018,Accident on BKE (towards PIE) after Dairy Farm Rd Entrance. Avoid lane 1.,CC,CENTRAL WATER CATCHMENT,NR,NORTH REGION,expressway,176204415,Bukit Timah Expressway,BKE,motorway,1,0,90,3.95289732472656
27415.1407792068,34322.1410276776,Accident,15/2/2018,Accident on PIE (towards Tuas) after Stevens Rd Exit with congestion till Toa Payoh Exit. Avoid lane 1.,NV,NOVENA,CR,CENTRAL REGION,expressway,174555661,Pan-Island Expressway,PIE,motorway,1,0,80,6.82741449766058
22793.3439292035,45324.8980266117,Accident,15/2/2018,Accident on SLE (towards BKE) at Woodlands Ave 2 Exit.,MD,MANDAI,NR,NORTH REGION,expressway,95841004,Seletar Expressway,SLE,motorway,1,1,90,0.394989233726274
21129.9311166314,44559.3280454786,Accident,15/2/2018,Accident on SLE (towards BKE) at BKE(PIE) Exit with congestion till BKE Exit.,MD,MANDAI,NR,NORTH REGION,expressway,95840931,,,motorway_link,1,0,,1.54393777210676
32120.6208575388,34305.5780044142,Accident,15/2/2018,Accident on PIE (towards Tuas) after KPE Exit with congestion till KPE Exit. Avoid lane 4.,KL,KALLANG,CR,CENTRAL REGION,expressway,37635208,Pan-Island Expressway,PIE,motorway,1,1,90,1.55399266520625
24025.0098898023,29839.800946894,Accident,15/2/2018,Accident on AYE (towards MCE) before Alexandra Rd Exit. Avoid lane 1.,QT,QUEENSTOWN,CR,CENTRAL REGION,expressway,479170650,Ayer Rajah Expressway,AYE,motorway,1,0,90,4.35977694199566
18399.11438683,41239.9299605012,Accident,14/2/2018,Accident on KJE (towards PIE) at Choa Chu Kang Dr Exit.,CK,CHOA CHU KANG,WR,WEST REGION,expressway,22733027,,,motorway_link,1,0,,3.96318135208636
9159.60139719754,33948.229945637,Accident,14/2/2018,Accident on PIE (towards Tuas) at AYE Exit.,PN,PIONEER,WR,WEST REGION,expressway,428897151,Upper Jurong Road,,motorway_link,1,0,,5.11356937433035
25750.2349226973,42445.9220504659,Accident,14/2/2018,Accident on SLE (towards CTE) before Upper Thomson Rd Exit with congestion till Woodlands Ave 2 Exit. Avoid lanes 2 and 3.,YS,YISHUN,NR,NORTH REGION,expressway,166702718,Seletar Expressway,SLE,motorway,1,0,90,5.19616099478533
18896.7125311364,41242.5780063418,Accident,14/2/2018,Accident on KJE (towards PIE) before Choa Chu Kang Dr Exit with congestion till BKE Entrance.,CK,CHOA CHU KANG,WR,WEST REGION,expressway,133983826,Kranji Expressway,KJE,motorway,1,1,90,4.25931234296395
24542.8468034475,44377.3589833238,Accident,14/2/2018,Accident on SLE (towards BKE) after Mandai Rd Exit.,MD,MANDAI,NR,NORTH REGION,expressway,480874196,Seletar Expressway,SLE,motorway,1,0,90,2.40009435000532
19939.073071636,41279.9610234011,Accident,14/2/2018,Accident on KJE (towards PIE) at Senja Rd Entrance.,BP,BUKIT PANJANG,WR,WEST REGION,expressway,262190480,Kranji Expressway,KJE,motorway,1,0,90,0.303679906576842
29832.8935176205,42040.0309938488,Accident,13/2/2018,Accident on SLE (towards BKE) after TPE Exit.,AM,ANG MO KIO,NER,NORTH-EAST REGION,expressway,465775183,Seletar Expressway,SLE,motorway,1,1,80,5.31183845514924
25607.1627601401,29532.6989570409,Accident,13/2/2018,Accident on AYE (towards Tuas) after Lower Delta Rd Exit. Avoid lane 3.,BM,BUKIT MERAH,CR,CENTRAL REGION,expressway,480749318,Ayer Rajah Expressway,AYE,motorway,1,0,90,6.9364451133456
21102.6760289724,44097.2700435739,Accident,13/2/2018,Accident on BKE (towards Woodlands) after Mandai Rd Entrance. Avoid lane 3.,SK,SUNGEI KADUT,NR,NORTH REGION,expressway,134991382,Bukit Timah Expressway,BKE,motorway,1,1,90,4.12177215750187
35689.6943734336,31260.0999988505,Accident,13/2/2018,Accident on ECP (towards Changi Airport) before Still Rd Sth Exit with congestion till Fort Rd Exit. Avoid lane 1.,MP,MARINE PARADE,CR,CENTRAL REGION,expressway,477796387,East Coast Parkway,ECP,motorway,1,0,90,6.53167927119962
35685.9079284836,34175.3279933058,Accident,13/2/2018,Accident on PIE (towards Changi Airport) before Jalan Eunos with congestion till Kallang Way. Avoid lane 1.,GL,GEYLANG,CR,CENTRAL REGION,expressway,74553778,Pan-Island Expressway,PIE,motorway,1,0,90,4.01868168901416
18068.8363523633,33993.7380431647,Accident,13/2/2018,Accident on AYE (towards Tuas) after Jurong Town Hall Exit.,JE,JURONG EAST,WR,WEST REGION,expressway,44628820,Ayer Rajah Expressway,AYE,motorway,1,0,,7.12241525834466
44378.6966877225,35554.7500174291,Accident,13/2/2018,Accident on PIE (towards Changi Airport) at ECP(City) Exit.,CH,CHANGI,ER,EAST REGION,expressway,34760645,,,motorway_link,1,0,40,0.869051247870987
30782.7382595123,39741.1090420855,Accident,13/2/2018,Accident on CTE (towards SLE) at Ang Mo Kio Ave 5 Exit.,AM,ANG MO KIO,NER,NORTH-EAST REGION,expressway,296087667,,,motorway_link,1,0,,3.81394387531969
31085.447033737,39187.5509710165,Accident,13/2/2018,Accident on Ang Mo Kio Avenue 5 (towards Ang Mo Kio Avenue 3) after CTE.,SG,SERANGOON,NER,NORTH-EAST REGION,expressway,296082315,Ang Mo Kio Avenue 3,,motorway_link,1,0,,0.547524870297447
39986.9250158704,35407.5119707878,Accident,13/2/2018,Accident on PIE (towards Tuas) after Tampines.,TM,TAMPINES,ER,EAST REGION,expressway,383384443,Pan-Island Expressway,PIE,motorway,1,0,90,1.4004245285004
26864.0118760277,29006.3109492032,Accident,13/2/2018,Accident on AYE (towards Tuas) after Lower Delta Rd Exit with congestion till Lower Delta Rd Exit. Avoid lane 2.,BM,BUKIT MERAH,CR,CENTRAL REGION,expressway,480748371,Ayer Rajah Expressway,AYE,motorway,1,0,90,2.37922883625458
23294.8590507988,45157.0699812767,Accident,13/2/2018,Accident on SLE (towards BKE) before Woodlands Ave 2 Exit with congestion till Mandai Rd Exit. Avoid lane 2.,MD,MANDAI,NR,NORTH REGION,expressway,95841007,Seletar Expressway,SLE,motorway,1,0,90,4.28044258180175
18289.743936054,33900.0310305829,Accident,13/2/2018,Accident on AYE (towards Tuas) at Jurong Town Hall Exit.,JE,JURONG EAST,WR,WEST REGION,expressway,75044377,,,motorway_link,1,0,50,3.67619684201312
30731.6354445602,41846.6599465433,Accident,13/2/2018,Accident on SLE (towards CTE) after TPE Exit. Avoid lanes 2 and 3.,SE,SENGKANG,NER,NORTH-EAST REGION,expressway,15092487,Seletar Expressway,SLE,motorway,1,0,80,5.38795392865916
29922.6795323305,42047.9220442794,Accident,12/2/2018,Accident on SLE (towards CTE) before TPE Exit. Avoid lane 1.,AM,ANG MO KIO,NER,NORTH-EAST REGION,expressway,234881026,Seletar Expressway,SLE,motorway,1,0,80,6.88578493965096
36093.9021335873,34381.171970511,Accident,12/2/2018,Accident on PIE (towards Changi Airport) at Jalan Eunos Entrance.,BD,BEDOK,ER,EAST REGION,expressway,44957260,,,motorway_link,1,0,,4.37139853027453
24547.9327853392,44394.3009911491,Accident,12/2/2018,Accident on SLE (towards CTE) before Mandai Ave Exit with congestion till BKE Entrance. Avoid lane 2.,MD,MANDAI,NR,NORTH REGION,expressway,480874183,Seletar Expressway,SLE,motorway,1,0,90,3.13841557055389
36112.8799489183,34283.2380551058,Accident,12/2/2018,Accident on PIE (towards Changi Airport) before Jalan Eunos with congestion till Kallang. Avoid lanes 2 and 3.,BD,BEDOK,ER,EAST REGION,expressway,44957272,Eunos Flyover,PIE,motorway,1,1,90,4.15976543231921
28358.3667260393,34360.8710309434,Accident,12/2/2018,Accident on PIE (towards Changi Airport) before Thomson Rd with congestion till Lornie Rd. Avoid lane 1.,NV,NOVENA,CR,CENTRAL REGION,expressway,75092722,Pan-Island Expressway,PIE,motorway,1,0,80,5.4408885911556
24501.6358240861,29610.0509848853,Accident,12/2/2018,Accident on AYE (towards Tuas) before Alexandra Rd Entrance.,BM,BUKIT MERAH,CR,CENTRAL REGION,expressway,480749319,Ayer Rajah Expressway,AYE,motorway,1,0,90,7.17838518047693
41479.1338884849,36673.8400144023,Accident,12/2/2018,Accident on PIE (towards Changi Airport) before Tampines St 31. Avoid lane 2.,TM,TAMPINES,ER,EAST REGION,expressway,174049703,Pan-Island Expressway,PIE,motorway,1,0,90,2.85262874221947
19417.5787306828,33486.6090521782,Accident,12/2/2018,Accident on AYE (towards Tuas ) after Clementi Ave 6 Exit. Avoid lane 4.,CL,CLEMENTI,WR,WEST REGION,expressway,75044384,Ayer Rajah Expressway,AYE,motorway,1,0,90,5.23173138511744
22500.6706861661,31008.9390161129,Accident,12/2/2018,Accident on AYE (towards MCE) after Buona Vista Exit. Avoid lanes 1 and 2.,QT,QUEENSTOWN,CR,CENTRAL REGION,expressway,75044392,Ayer Rajah Expressway,AYE,motorway,1,0,90,7.92736949741222
23071.9230916234,45259.3590264391,Accident,12/2/2018,Accident on SLE (towards CTE) after Woodlands Ave 2 Exit. Avoid lane 3.,WD,WOODLANDS,NR,NORTH REGION,expressway,95841007,Seletar Expressway,SLE,motorway,1,0,90,8.77666311539033
33731.8401753906,34417.5779572596,Accident,12/2/2018,Accident on KPE (towards ECP) after Airport Rd Entrance. Avoid lane 3.,GL,GEYLANG,CR,CENTRAL REGION,expressway,32605145,Kallang-Paya Lebar Expressway,KPE,motorway,1,0,70,13.3740597760272
