X,Y,ROAD_NAME,DIRECTION,DESCP,INC_CRC,X_ADDR,Y_ADDR,CameraType,CAMID,LOCATION,CAM_ID,join_name,join_ref,join_type
21568.0,40465.0,,,,1471C43B7635EA19,21568.00000000000,40465.00000000000,digital-speed-enforcement-cameras,SPF-DSECS-9110,Bukit Timah Expressway towards Woodlands,,Bukit Timah Expressway,BKE,motorway
25195.0,43349.0,,,,38976A25C54E2F6F,25195.00000000000,43349.00000000000,digital-speed-enforcement-cameras,SPF-DSECS-9114,Seletar Expressway towards Bukit Timah Expressway,,Seletar Expressway,SLE,motorway
25199.0,43337.0,,,,1606BD870057CFAF,25199.00000000000,43337.00000000000,digital-speed-enforcement-cameras,SPF-DSECS-9115,Seletar Expressway towards Central Expressway,,Seletar Expressway,SLE,motorway
32793.8665,29422.5369,,,,536B41822105C1F8,32793.86640000000,29422.53690000000,mce-kpe-speed-camera,,,"WB_CH4286 (Right)
",Marina Coastal Expressway,MCE,motorway
32815.0332,29396.2902,,,,08281CF61F890E90,32815.03320000000,29396.29020000000,mce-kpe-speed-camera,,,"WB_CH4286 (Left)
",Marina Coastal Expressway,MCE,motorway
31616.9864,28570.5841,,,,834504C55E0A38B6,31616.98630000000,28570.58410000000,mce-kpe-speed-camera,,,WB_CH2780 (Right),Marina Coastal Expressway,,motorway_link
31631.9089,28549.682,,,,7CCCD31D10A17947,31631.90890000000,28549.68200000000,mce-kpe-speed-camera,,,WB_CH2780 (Left),Marina Link,,motorway_link
32358.1485,29062.0515,,,,BA3D3FE29A21E79B,32358.14850000000,29062.05150000000,mce-kpe-speed-camera,,,EB_CH3642 (Right),Marina Coastal Expressway,MCE,motorway
32632.5487,33418.325099999,,,,54797434E33ED9DC,32632.54870000000,33418.32500000000,mce-kpe-speed-camera,,,NB_CH2250,Kallang-Paya Lebar Expressway,,motorway_link
32702.0587,32542.0921,,,,6E305956C95273E7,32702.05860000000,32542.09210000000,mce-kpe-speed-camera,,,SB_CH1350,Kallang-Paya Lebar Expressway,KPE,motorway
33736.2159,34681.431299999,,,,43F8DA17F39E748A,33736.21590000000,34681.43120000000,mce-kpe-speed-camera,,,NB_CH4350,Kallang-Paya Lebar Expressway,KPE,motorway
35248.93,36497.5664,,,,2A83785D812DD616,35248.92990000000,36497.56640000000,mce-kpe-speed-camera,,,NB_CH7050,,,motorway_link
33943.789,34866.1446,,,,37CFA228DB90426A,33943.78890000000,34866.14460000000,mce-kpe-speed-camera,,,SB_CH4650,Kallang-Paya Lebar Expressway,KPE,motorway
35266.4812,36759.980699999,,,,026D505384D53509,35266.48120000000,36759.98060000000,mce-kpe-speed-camera,,,SB_CH7350,Kallang-Paya Lebar Expressway,KPE,motorway
32337.0214,29085.6524,,,,BCD21EC10041F0EF,32337.02140000000,29085.65240000000,mce-kpe-speed-camera,,,EB_CH3642 (Left),Marina Coastal Expressway,MCE,motorway
32728.7259,30719.4079,,,,8DE4AB5282893BE5,32728.72590000000,30719.40790000000,mce-kpe-speed-camera,,,WB_CH5765 (Right),Marina Coastal Expressway,MCE,motorway
